,kenteken,emissiecode_omschrijving,aantal_cilinders,cilinderinhoud
0,0001TJ,0,4.0,
1,0001TV,0,4.0,
2,0001VH,0,4.0,
3,0001VM,0,6.0,
4,0002MJ,0,8.0,
5,0002UJ,0,6.0,
6,0002VK,0,4.0,1484.0
7,0002XK,0,4.0,
8,0002ZA,0,6.0,
9,0002ZK,0,4.0,
10,0003TH,0,4.0,
11,0003TJ,0,4.0,
12,0003VX,0,4.0,
13,0004ME,0,4.0,
14,0004PF,0,8.0,
15,0004PS,0,4.0,
16,0004VS,0,4.0,
17,0004ZT,0,4.0,
18,0005DR,0,6.0,
19,0005PS,0,4.0,
20,0005RZ,0,6.0,
21,0005SM,0,6.0,
22,0006AR,0,6.0,
23,0006EN,0,6.0,
25,0006NA,0,4.0,1130.0
26,0006NF,0,4.0,
27,0006SN,0,4.0,
28,0007PF,0,8.0,
29,0007XD,0,4.0,
30,0007XK,0,4.0,
31,0008JG,0,2.0,
32,0008JK,0,4.0,
33,0008NU,0,4.0,
34,0008SZ,0,4.0,
35,0008TL,0,2.0,
36,0009DE,0,6.0,
37,0009NN,0,4.0,
38,0009PH,0,4.0,
39,0009PT,0,4.0,
40,0009SL,0,8.0,
41,0010HX,0,4.0,
42,0010JZ,0,4.0,
43,0010UT,0,4.0,
44,0011AF,0,8.0,
45,0011EE,0,4.0,
46,0011JK,0,4.0,
47,0011UE,0,4.0,
49,0011US,0,4.0,
50,0011VK,0,4.0,
51,0011ZX,0,4.0,
52,0012GM,0,4.0,
53,0012UJ,0,6.0,
54,0012VM,0,6.0,
56,0012XK,0,4.0,
57,0013BR,0,2.0,
58,0013HX,0,4.0,
59,0013JF,0,4.0,
60,0013JK,0,4.0,
61,0013PL,0,4.0,
62,0014EE,0,4.0,
63,0014VL,0,4.0,
64,0015DG,0,6.0,
65,0015EP,0,8.0,
66,0015NN,0,4.0,
67,0015NZ,0,6.0,
68,0015PS,0,4.0,
69,0015PT,0,4.0,
71,0015XT,0,4.0,
72,0015ZX,0,4.0,
73,0016EU,0,4.0,
74,0016FF,0,4.0,
75,0016HK,0,2.0,
76,0016NF,0,4.0,1288.0
77,0016PF,0,8.0,
78,0016PU,0,8.0,
79,0016ZD,0,4.0,
80,0017EE,0,4.0,
81,0017JU,0,4.0,
82,0017UP,0,4.0,
83,0017VN,0,4.0,
84,0018UA,0,4.0,
85,0018XM,0,4.0,
86,0019SL,0,6.0,2292.0
88,0020PD,0,4.0,
89,0020TR,0,4.0,
90,0020XF,0,4.0,
91,0021JK,0,4.0,
92,0021XZ,0,2.0,
93,0021ZT,0,4.0,
94,0022HZ,0,4.0,
95,0022JK,0,4.0,
96,0022MK,0,2.0,
97,0022NF,0,4.0,
98,0022TU,0,6.0,
99,0022XD,0,4.0,
100,0022ZJ,0,4.0,
101,0022ZP,0,6.0,
102,0023HJ,0,8.0,5211.0
103,0023JK,0,4.0,1897.0
104,0023NF,0,4.0,
